הגרלה,תאריך,1,2,3,4,5,6,המספר החזק/נוסף,מספר_זוכים_לוטו,מספר_זוכים_דאבל_לוטו,
3045,11/08/2018,04,05,08,25,26,33,7,0,0,
3044,07/08/2018,02,06,17,22,30,33,5,0,0,
3043,04/08/2018,09,16,22,23,25,28,3,0,0,
3042,02/08/2018,02,09,11,16,23,35,1,0,0,
3041,31/07/2018,02,14,25,26,32,33,4,0,0,
3040,28/07/2018,06,09,26,29,36,37,1,1,0,
3039,24/07/2018,02,09,15,26,29,35,5,0,1,
3038,22/07/2018,03,11,13,25,28,35,1,1,0,
3037,17/07/2018,13,19,21,27,29,32,3,0,0,
3036,14/07/2018,11,22,27,32,34,36,3,0,0,
3035,10/07/2018,02,07,08,09,10,15,2,1,2,
3034,07/07/2018,08,11,22,29,30,32,1,0,0,
3033,05/07/2018,07,13,15,19,28,36,6,0,0,
3032,03/07/2018,05,07,11,12,28,34,5,0,0,
3031,30/06/2018,02,09,11,13,19,28,3,0,0,
3030,26/06/2018,01,03,29,30,32,37,3,0,0,
3029,23/06/2018,02,09,13,17,21,26,6,0,0,
3028,21/06/2018,19,26,30,31,33,35,3,0,0,
3027,19/06/2018,05,07,11,14,23,36,2,1,0,
3026,16/06/2018,08,10,18,23,29,30,7,0,0,
3025,12/06/2018,05,09,10,12,34,35,1,0,0,
3024,09/06/2018,08,10,14,17,25,34,5,0,0,
3023,07/06/2018,01,03,11,15,26,32,7,0,0,
3022,05/06/2018,01,08,19,22,34,35,6,0,0,
3021,02/06/2018,09,20,22,23,27,32,7,0,0,
3020,29/05/2018,12,13,16,20,21,32,2,0,0,
3019,26/05/2018,18,21,23,25,27,34,7,0,0,
3018,22/05/2018,01,13,26,31,34,37,4,0,0,
3017,20/05/2018,07,10,21,27,33,36,5,1,0,
3016,15/05/2018,02,04,10,14,23,28,6,0,0,
3015,12/05/2018,06,10,18,23,33,36,6,0,0,
3014,10/05/2018,04,08,11,29,34,35,7,0,0,
3013,08/05/2018,02,14,18,23,30,32,4,0,0,
3012,05/05/2018,10,12,22,23,30,37,5,3,0,
3011,01/05/2018,04,06,09,12,32,36,1,0,0,
3010,28/04/2018,04,06,07,10,11,18,2,0,0,
3009,26/04/2018,05,11,16,18,23,26,1,0,0,
3008,24/04/2018,13,15,26,27,29,37,7,1,0,
3007,21/04/2018,06,07,12,22,23,28,6,2,0,
3006,16/04/2018,02,10,11,22,28,33,6,0,0,
3005,14/04/2018,05,11,12,18,28,35,3,0,0,
3004,10/04/2018,01,07,11,22,24,34,2,0,0,
3003,08/04/2018,01,23,26,31,33,37,5,0,0,
3002,03/04/2018,03,10,11,20,24,30,2,0,0,
3001,31/03/2018,01,02,03,13,22,30,7,0,0,
3000,27/03/2018,02,09,17,23,27,31,1,0,0,
2999,24/03/2018,02,05,08,20,22,28,3,2,0,
2998,20/03/2018,05,06,11,13,21,30,5,0,0,
2997,17/03/2018,07,08,10,19,27,37,6,0,0,
2996,13/03/2018,22,24,28,29,30,33,4,0,0,
2995,10/03/2018,03,25,26,30,31,34,3,0,0,
2994,08/03/2018,09,11,15,22,28,32,2,0,0,
2993,06/03/2018,04,11,13,24,25,34,5,0,0,
2992,03/03/2018,01,02,03,10,16,37,5,0,0,
2991,27/02/2018,05,10,12,19,20,25,4,0,0,
2990,24/02/2018,02,06,09,13,35,37,3,0,0,
2989,20/02/2018,05,06,10,12,18,26,2,0,0,
2988,17/02/2018,01,03,05,17,18,26,5,0,0,
2987,13/02/2018,02,05,11,12,15,33,6,0,1,
2986,10/02/2018,04,05,11,16,18,20,6,0,0,
2985,06/02/2018,17,19,20,27,29,33,1,0,0,
2984,03/02/2018,05,13,15,23,28,35,2,0,0,
2983,01/02/2018,02,06,17,21,30,35,3,0,0,
2982,30/01/2018,05,21,22,25,32,36,6,0,0,
2981,27/01/2018,09,16,22,26,28,37,1,0,0,
2980,23/01/2018,07,13,16,17,29,34,1,0,0,
2979,20/01/2018,03,06,11,16,26,34,6,0,1,
2978,16/01/2018,03,12,15,20,23,26,4,0,0,
2977,13/01/2018,07,11,23,30,32,34,1,0,0,
2976,09/01/2018,06,11,13,29,32,34,2,0,0,
2975,06/01/2018,02,06,12,18,26,28,1,0,0,
2974,04/01/2018,01,03,12,23,28,31,4,0,0,
2973,02/01/2018,04,06,07,10,20,28,1,0,0,
2972,30/12/2017,03,06,17,18,34,36,2,0,0,
2971,28/12/2017,06,07,08,17,18,29,1,0,0,
2970,26/12/2017,03,18,19,29,36,37,6,0,0,
2969,23/12/2017,07,09,25,30,31,36,1,0,0,
2968,19/12/2017,03,09,11,12,28,35,4,1,0,
2967,16/12/2017,03,06,10,11,26,29,6,0,0,
2966,12/12/2017,02,10,15,17,25,33,6,0,0,
2965,09/12/2017,10,18,27,30,32,37,1,0,0,
2964,07/12/2017,06,07,18,21,26,33,3,0,0,
2963,05/12/2017,15,20,27,28,29,37,3,0,0,
2962,02/12/2017,04,08,13,17,28,33,6,0,0,
2961,28/11/2017,06,10,14,20,31,37,6,0,0,
2960,25/11/2017,06,16,21,25,32,33,7,0,0,
2959,21/11/2017,01,06,08,17,19,24,3,0,0,
2958,18/11/2017,16,22,27,29,33,36,7,0,0,
2957,14/11/2017,20,23,27,28,30,34,3,0,0,
2956,11/11/2017,01,08,10,12,29,34,1,0,0,
2955,07/11/2017,01,06,23,33,34,36,6,0,0,
2954,04/11/2017,06,08,24,28,30,35,5,0,1,
2953,02/11/2017,03,06,09,14,16,35,7,0,0,
2952,31/10/2017,01,06,07,12,34,35,6,0,0,
2951,28/10/2017,23,25,28,30,31,34,3,0,0,
2950,24/10/2017,02,03,12,22,25,27,7,1,2,
2949,21/10/2017,15,20,24,25,29,30,5,0,0,
2948,19/10/2017,08,15,21,23,29,37,2,0,0,
2947,17/10/2017,06,18,26,31,34,37,1,0,0,
2946,14/10/2017,12,18,20,23,25,37,5,0,0,
2945,10/10/2017,4,5,11,27,32,37,1,1,0,
2944,07/10/2017,2,4,12,28,30,32,7,0,0,
2943,03/10/2017,1,2,15,28,29,32,6,0,0,
2942,01/10/2017,3,10,18,20,24,33,2,1,0,
2941,26/09/2017,5,16,20,24,29,34,4,0,0,
2940,24/09/2017,6,8,11,23,25,32,1,0,0,
2939,19/09/2017,2,4,5,9,12,27,5,1,0,
2938,16/09/2017,9,20,21,24,25,37,7,0,0,
2937,12/09/2017,5,6,9,11,15,23,2,1,4,
2936,09/09/2017,7,12,15,18,23,28,1,0,0,
2935,07/09/2017,13,20,25,28,29,30,1,0,0,
2934,05/09/2017,3,6,13,15,28,31,1,0,0,
2933,02/09/2017,1,8,14,21,25,31,1,0,0,
2932,29/08/2017,1,3,22,26,29,36,5,0,0,
2931,26/08/2017,5,10,15,22,25,33,1,0,0,
2930,24/08/2017,12,13,25,27,31,33,3,0,0,
2929,22/08/2017,5,8,10,26,29,35,6,0,0,
2928,19/08/2017,6,17,28,30,32,33,6,0,0,
2927,15/08/2017,6,8,12,14,28,34,4,0,0,
2926,12/08/2017,20,22,29,31,32,33,3,0,0,
2925,08/08/2017,13,17,26,31,35,37,4,0,0,
2924,05/08/2017,4,7,11,12,15,37,4,0,1,
2923,03/08/2017,6,9,21,31,34,35,4,0,0,
2922,01/08/2017,4,10,17,23,28,37,5,0,0,
2921,29/07/2017,1,5,26,31,34,35,4,0,0,
2920,25/07/2017,12,14,19,27,31,34,4,0,0,
2919,22/07/2017,6,7,11,12,23,30,3,0,0,
2918,18/07/2017,7,10,14,17,27,29,4,2,0,
2917,15/07/2017,3,10,20,22,33,37,3,0,0,
2916,11/07/2017,3,5,8,11,22,33,5,1,1,
2915,08/07/2017,9,18,22,24,27,34,6,0,0,
2914,06/07/2017,11,21,22,24,26,30,3,0,0,
2913,04/07/2017,4,8,15,24,36,37,5,0,0,
2912,01/07/2017,19,20,21,24,34,35,5,2,0,
2911,27/06/2017,8,9,14,22,32,33,7,0,0,
2910,24/06/2017,2,3,8,11,26,29,6,0,0,
2909,20/06/2017,2,9,17,19,34,35,2,0,0,
2908,17/06/2017,4,7,10,20,22,26,7,0,0,
2907,15/06/2017,6,12,23,25,26,35,4,0,0,
2906,13/06/2017,4,19,22,28,31,33,7,0,0,
2905,10/06/2017,3,5,10,13,26,27,4,0,0,
2904,06/06/2017,8,18,21,22,26,33,1,0,0,
2903,03/06/2017,10,11,14,17,19,26,5,0,0,
2902,31/05/2017,1,9,14,15,19,25,6,0,0,
2901,27/05/2017,10,13,15,22,32,33,7,0,0,
2900,23/05/2017,2,8,17,20,27,31,7,0,1,
2899,20/05/2017,1,3,8,10,11,31,3,1,0,
2898,16/05/2017,8,13,27,28,30,36,2,0,0,
2897,13/05/2017,3,20,24,27,32,37,2,0,0,
2896,11/05/2017,5,6,18,19,21,36,6,0,0,
2895,09/05/2017,1,7,11,15,20,30,5,0,0,
2894,06/05/2017,2,7,11,23,25,29,4,0,0,
2893,03/05/2017,5,6,7,16,17,33,4,0,0,
2892,29/04/2017,19,21,24,25,30,36,5,1,0,
2891,25/04/2017,4,8,11,13,24,32,6,0,0,
2890,22/04/2017,9,20,27,28,30,34,1,0,0,
2889,18/04/2017,2,8,10,16,18,27,5,0,0,
2888,15/04/2017,3,6,12,25,28,36,7,0,0,
2887,12/04/2017,4,7,10,22,27,36,6,0,0,
2886,08/04/2017,7,11,18,21,25,29,7,0,0,
2885,06/04/2017,5,6,7,24,27,32,5,0,0,
2884,04/04/2017,4,5,16,24,33,34,2,0,0,
2883,01/04/2017,6,14,15,18,22,36,4,0,0,
2882,28/03/2017,13,15,21,23,30,36,6,1,0,
2881,25/03/2017,14,15,16,24,32,36,1,0,0,
2880,23/03/2017,3,8,10,11,26,36,2,0,0,
2879,21/03/2017,3,10,13,18,25,26,6,1,0,
2878,18/03/2017,3,11,22,24,33,36,7,0,0,
2877,14/03/2017,13,20,26,30,31,34,2,0,0,
2876,11/03/2017,11,13,18,20,25,29,7,1,0,
2875,07/03/2017,10,11,17,19,26,30,5,0,1,
2874,04/03/2017,3,8,9,12,27,33,3,0,0,
2873,28/02/2017,5,7,13,15,18,23,2,0,0,
2872,25/02/2017,1,6,18,24,28,35,2,0,0,
2871,21/02/2017,3,27,28,30,31,35,7,0,0,
2870,18/02/2017,6,8,14,19,20,37,5,2,0,
2869,14/02/2017,16,18,19,30,31,32,3,0,0,
2868,11/02/2017,12,15,17,18,22,26,1,0,0,
2867,07/02/2017,5,12,16,22,27,31,4,0,0,
2866,04/02/2017,4,22,24,25,26,29,6,0,0,
2865,31/01/2017,1,6,11,14,17,27,4,0,0,
2864,28/01/2017,5,8,11,16,22,29,6,0,0,
2863,24/01/2017,10,13,16,17,26,34,7,0,0,
2862,21/01/2017,8,9,12,13,29,34,5,0,0,
2861,17/01/2017,3,9,14,15,21,22,3,0,0,
2860,14/01/2017,5,7,10,15,26,37,7,1,0,
2859,10/01/2017,14,15,19,31,34,35,3,0,0,
2858,07/01/2017,5,6,9,17,24,31,7,0,0,
2857,03/01/2017,1,3,6,27,29,33,7,0,0,
2856,31/12/2016,11,13,27,30,32,34,6,0,0,
2855,27/12/2016,8,10,12,24,25,29,3,0,0,
2854,24/12/2016,5,8,21,28,31,35,2,0,0,
2853,20/12/2016,1,3,4,10,16,17,1,0,0,
2852,17/12/2016,1,2,10,12,26,29,6,0,0,
2851,13/12/2016,4,12,16,28,29,31,5,1,0,
2850,10/12/2016,8,9,15,21,26,29,3,0,1,
2849,06/12/2016,2,5,9,13,26,29,2,0,0,
2848,03/12/2016,6,16,20,25,26,27,6,0,0,
2847,29/11/2016,1,8,20,25,33,37,7,0,0,
2846,26/11/2016,1,12,13,29,32,36,1,0,0,
2845,22/11/2016,2,3,5,8,23,29,4,0,0,
2844,19/11/2016,13,16,19,22,25,31,2,1,0,
2843,15/11/2016,2,11,21,22,26,32,6,0,0,
2842,12/11/2016,2,14,16,18,32,37,3,0,0,
2841,08/11/2016,4,11,12,26,28,29,6,0,0,
2840,05/11/2016,3,9,13,16,22,34,6,0,0,
2839,01/11/2016,12,18,20,21,29,35,4,0,0,
2838,29/10/2016,4,16,21,23,24,27,3,1,0,
2837,25/10/2016,4,16,19,25,29,37,6,0,0,
2836,22/10/2016,1,6,12,14,36,37,3,0,0,
2835,18/10/2016,4,5,9,12,16,29,3,1,0,
2834,15/10/2016,9,20,22,23,24,29,6,0,0,
2833,10/10/2016,3,8,17,20,22,30,3,2,0,
2832,08/10/2016,1,9,10,21,24,32,1,0,0,
2831,05/10/2016,9,11,14,16,27,37,1,0,0,
2830,01/10/2016,14,20,23,25,26,35,3,0,0,
2829,27/09/2016,5,11,18,20,30,35,5,0,0,
2828,24/09/2016,9,15,17,25,27,32,3,0,0,
2827,20/09/2016,5,9,19,21,22,34,2,0,0,
2826,17/09/2016,11,14,22,26,27,33,7,0,0,
2825,13/09/2016,1,10,11,12,18,19,5,0,0,
2824,10/09/2016,5,7,10,13,24,33,7,0,0,
2823,06/09/2016,7,13,14,28,29,35,6,0,0,
2822,03/09/2016,1,4,16,26,28,37,5,0,0,
2821,30/08/2016,3,11,12,15,21,26,6,0,0,
2820,27/08/2016,12,13,15,20,21,32,1,0,0,
2819,23/08/2016,4,6,18,26,29,34,1,0,0,
2818,20/08/2016,3,4,5,27,30,36,3,0,0,
2817,16/08/2016,1,2,32,34,36,37,6,0,1,
2816,14/08/2016,1,3,15,27,31,35,7,0,0,
2815,09/08/2016,6,8,9,14,16,17,4,0,0,
2814,06/08/2016,1,25,34,35,36,37,2,0,0,
2813,02/08/2016,7,26,28,30,31,34,1,0,0,
2812,30/07/2016,2,12,20,28,30,33,5,0,0,
2811,26/07/2016,10,13,16,24,27,37,2,0,0,
2810,23/07/2016,1,9,15,20,23,28,4,1,0,
2809,19/07/2016,5,10,13,17,25,36,3,1,0,
2808,16/07/2016,4,6,15,24,31,37,4,0,0,
2807,12/07/2016,6,14,18,26,29,36,7,0,0,
2806,09/07/2016,1,2,5,16,24,34,7,0,0,
2805,05/07/2016,7,12,18,22,32,36,3,0,0,
2804,02/07/2016,3,7,10,21,33,35,2,1,0,
2803,28/06/2016,11,12,18,19,32,37,4,0,0,
2802,25/06/2016,2,12,21,23,28,31,6,0,0,
2801,21/06/2016,7,11,19,25,28,37,4,0,0,
2800,18/06/2016,12,14,16,29,32,37,5,0,0,
2799,14/06/2016,5,6,9,12,26,34,4,0,0,
2798,12/06/2016,1,20,23,24,26,32,7,0,0,
2797,07/06/2016,8,9,21,22,26,37,6,0,0,
2796,04/06/2016,5,8,17,31,32,37,7,0,0,
2795,31/05/2016,1,5,7,18,25,36,1,2,1,
2794,28/05/2016,4,6,14,22,28,29,4,0,0,
2793,24/05/2016,8,12,15,24,28,33,5,0,0,
2792,21/05/2016,3,5,6,13,26,29,1,0,0,
2791,17/05/2016,2,4,14,19,20,33,1,1,0,
2790,14/05/2016,13,17,20,26,35,37,2,0,0,
2789,10/05/2016,5,6,10,20,26,29,3,0,1,
2788,07/05/2016,1,9,20,25,27,31,4,0,0,
2787,03/05/2016,5,22,25,33,35,36,1,0,0,
2786,01/05/2016,2,6,8,14,29,34,3,0,0,
2785,26/04/2016,12,13,20,25,27,30,6,0,0,
2784,23/04/2016,2,5,6,14,22,32,3,0,0,
2783,19/04/2016,3,7,12,22,27,36,2,0,0,
2782,16/04/2016,7,13,19,32,35,37,6,0,0,
2781,12/04/2016,2,7,10,18,24,26,5,0,1,
2780,09/04/2016,5,8,11,20,29,36,4,0,0,
2779,05/04/2016,4,8,16,20,21,36,3,0,1,
2778,02/04/2016,3,15,26,28,32,33,4,1,0,
2777,29/03/2016,1,10,11,13,18,25,7,0,0,
2776,26/03/2016,6,10,14,15,26,36,3,1,0,
2775,22/03/2016,9,16,22,27,31,32,6,0,0,
2774,19/03/2016,6,9,17,26,27,36,6,0,0,
2773,15/03/2016,7,15,17,18,20,32,5,0,0,
2772,12/03/2016,1,5,14,21,27,30,7,0,0,
2771,08/03/2016,5,19,23,25,30,31,3,0,0,
2770,05/03/2016,1,2,7,8,9,26,2,0,1,
2769,01/03/2016,7,15,17,19,27,30,4,0,0,
2768,27/02/2016,3,18,19,22,24,26,7,1,0,
2767,23/02/2016,6,10,25,31,35,37,4,0,0,
2766,20/02/2016,2,5,21,29,34,37,3,0,0,
2765,16/02/2016,8,14,16,20,24,30,1,0,0,
2764,13/02/2016,2,13,14,19,21,30,1,0,0,
2763,09/02/2016,2,10,14,15,21,29,2,1,0,
2762,06/02/2016,1,4,11,19,30,32,4,0,0,
2761,02/02/2016,1,13,19,22,34,35,6,0,0,
2760,30/01/2016,8,9,11,12,13,22,4,0,0,
2759,26/01/2016,17,18,25,28,30,34,5,0,0,
2758,23/01/2016,5,16,18,23,24,26,6,0,0,
2757,19/01/2016,6,19,24,25,26,37,7,0,0,
2756,16/01/2016,1,8,13,27,32,37,2,0,0,
2755,12/01/2016,1,4,5,16,21,29,1,0,0,
2754,09/01/2016,3,12,14,24,32,34,6,0,1,
2753,05/01/2016,3,15,17,20,21,37,1,0,0,
2752,02/01/2016,1,13,15,30,31,32,2,0,0,
2751,29/12/2015,4,7,13,16,17,27,6,0,0,
2750,26/12/2015,14,21,27,31,32,35,5,1,0,
2749,22/12/2015,2,11,13,17,25,27,5,1,0,
2748,19/12/2015,1,11,13,25,27,29,7,0,0,
2747,15/12/2015,3,6,9,10,17,36,5,0,0,
2746,12/12/2015,4,9,10,12,13,29,4,0,0,
2745,08/12/2015,6,10,15,18,27,34,6,0,0,
2744,05/12/2015,4,17,18,23,25,28,2,0,0,
2743,01/12/2015,2,9,18,23,29,33,5,0,0,
2742,28/11/2015,7,19,27,29,34,35,7,0,0,
2741,24/11/2015,6,8,21,25,30,35,6,0,0,
2740,21/11/2015,7,9,14,21,26,34,5,0,0,
2739,17/11/2015,3,5,6,19,23,35,3,0,0,
2738,14/11/2015,10,17,18,22,24,29,1,0,0,
2737,10/11/2015,3,4,10,11,30,32,5,0,0,
2736,07/11/2015,18,19,29,34,35,36,1,0,0,
2735,03/11/2015,10,12,19,25,26,36,2,0,1,
2734,31/10/2015,14,20,22,26,31,37,5,0,0,
2733,27/10/2015,2,20,26,27,28,30,1,0,0,
2732,24/10/2015,9,13,15,20,25,36,6,0,0,
2731,20/10/2015,1,6,9,10,12,17,3,0,0,
2730,17/10/2015,2,3,13,21,22,31,6,0,0,
2729,13/10/2015,1,6,15,17,20,32,6,0,0,
2728,10/10/2015,5,6,16,17,20,22,7,0,0,
2727,06/10/2015,2,8,12,14,17,21,4,2,0,
2726,03/10/2015,9,17,23,28,30,36,7,0,0,
2725,29/09/2015,12,15,18,20,23,29,6,0,0,
2724,26/09/2015,5,6,8,11,20,27,7,0,0,
2723,21/09/2015,5,12,13,33,35,36,1,0,0,
2722,19/09/2015,1,8,11,23,30,35,6,0,0,
2721,16/09/2015,11,14,18,20,22,33,7,0,0,
2720,12/09/2015,6,9,15,23,24,28,4,0,0,
2719,08/09/2015,19,21,22,24,30,37,5,0,0,
2718,05/09/2015,5,6,10,15,28,29,7,0,1,
2717,01/09/2015,10,18,22,27,31,35,1,0,0,
2716,29/08/2015,5,7,8,15,19,26,3,1,0,
2715,25/08/2015,1,8,11,17,25,30,6,0,0,
2714,22/08/2015,16,17,18,20,28,35,3,0,0,
2713,18/08/2015,4,7,12,14,17,34,4,0,0,
2712,15/08/2015,3,7,14,24,27,28,2,1,0,
2711,11/08/2015,5,8,16,21,34,35,3,0,0,
2710,08/08/2015,2,6,17,29,31,35,3,1,1,
2709,04/08/2015,13,21,22,26,29,34,3,0,0,
2708,01/08/2015,5,7,9,17,19,29,3,0,0,
2707,28/07/2015,24,27,30,34,35,37,5,0,0,
2706,26/07/2015,7,9,16,23,29,30,3,0,0,
2705,21/07/2015,16,21,27,28,32,37,7,0,0,
2704,18/07/2015,2,3,11,18,25,27,5,0,0,
2703,14/07/2015,2,16,21,26,33,34,2,0,0,
2702,11/07/2015,5,15,22,23,25,29,6,0,0,
2701,07/07/2015,1,6,9,13,23,35,2,0,0,
2700,04/07/2015,2,14,22,23,25,28,5,0,0,
2699,30/06/2015,11,13,20,29,30,37,7,0,0,
2698,27/06/2015,2,6,13,16,27,33,3,0,0,
2697,23/06/2015,8,11,18,21,24,30,4,0,0,
2696,20/06/2015,3,5,7,13,17,28,4,1,0,
2695,16/06/2015,17,18,20,21,26,32,3,0,0,
2694,13/06/2015,3,4,14,18,32,35,2,0,0,
2693,09/06/2015,3,8,10,12,28,37,5,0,0,
2692,06/06/2015,4,6,8,18,27,37,4,0,0,
2691,02/06/2015,4,17,18,24,27,36,2,0,0,
2690,30/05/2015,6,8,11,23,32,35,4,0,0,
2689,26/05/2015,2,5,10,12,18,26,4,1,0,
2688,24/05/2015,4,11,18,22,29,31,4,0,0,
2687,19/05/2015,15,18,22,23,26,34,6,0,0,
2686,16/05/2015,6,8,18,22,29,37,1,1,0,
2685,12/05/2015,1,13,23,24,30,31,7,0,0,
2684,09/05/2015,5,16,22,23,24,33,1,0,0,
2683,05/05/2015,6,10,12,15,27,33,1,0,0,
2682,02/05/2015,1,3,8,12,19,30,1,1,0,
2681,28/04/2015,6,9,18,23,26,33,2,0,0,
2680,25/04/2015,1,15,17,31,32,34,2,0,0,
2679,21/04/2015,1,11,13,15,18,25,6,0,0,
2678,18/04/2015,11,12,18,24,31,33,6,1,0,
2677,14/04/2015,1,2,4,9,12,16,4,0,0,
2676,12/04/2015,2,9,11,13,29,33,3,0,0,
2675,07/04/2015,11,12,15,22,23,29,7,0,1,
2674,04/04/2015,7,32,33,34,35,36,2,0,0,
2673,31/03/2015,5,13,16,18,23,26,1,0,0,
2672,28/03/2015,5,13,21,22,25,28,1,0,0,
2671,24/03/2015,2,3,5,10,26,27,2,0,0,
2670,21/03/2015,11,15,17,27,33,37,5,0,0,
2669,17/03/2015,11,15,22,29,35,37,4,0,0,
2668,14/03/2015,14,15,18,22,23,29,1,0,0,
2667,10/03/2015,6,10,15,19,36,37,3,0,0,
2666,07/03/2015,3,14,15,19,26,33,6,0,1,
2665,03/03/2015,2,10,11,13,22,37,4,0,0,
2664,28/02/2015,11,13,22,29,31,33,1,0,0,
2663,24/02/2015,10,16,22,30,35,36,2,0,0,
2662,21/02/2015,4,14,16,22,28,33,4,0,0,
2661,17/02/2015,3,13,14,18,28,30,2,0,0,
2660,14/02/2015,8,11,13,20,22,25,5,0,0,
2659,10/02/2015,1,6,10,22,24,26,3,0,0,
2658,07/02/2015,8,12,17,21,27,30,1,0,0,
2657,03/02/2015,8,12,21,24,25,27,1,0,0,
2656,31/01/2015,1,10,16,28,29,32,5,0,0,
2655,27/01/2015,4,6,13,19,33,35,6,0,0,
2654,24/01/2015,4,11,19,28,31,34,4,0,0,
2653,20/01/2015,11,24,30,34,35,37,7,0,0,
2652,17/01/2015,1,7,11,17,36,37,2,1,1,
2651,13/01/2015,4,8,17,20,25,30,1,0,0,
2650,10/01/2015,3,8,10,15,30,33,4,0,0,
2649,06/01/2015,4,13,22,25,28,30,5,0,0,
2648,03/01/2015,9,20,22,23,29,31,2,0,0,
2647,30/12/2014,1,2,5,12,34,35,4,0,0,
2646,27/12/2014,4,5,18,20,28,36,4,0,0,
2645,23/12/2014,7,9,20,24,28,35,5,0,0,
2644,20/12/2014,6,12,25,27,30,37,5,0,0,
2643,16/12/2014,9,12,25,29,34,36,5,0,0,
2642,13/12/2014,2,9,27,29,32,36,1,0,0,
2641,09/12/2014,5,7,10,15,22,35,5,1,1,
2640,06/12/2014,3,20,28,31,33,37,5,0,0,
2639,02/12/2014,1,2,9,11,15,21,2,0,0,
2638,29/11/2014,2,10,14,17,28,34,2,1,1,
2637,25/11/2014,2,9,13,16,28,29,1,0,0,
2636,22/11/2014,4,6,10,11,14,25,7,0,0,
2635,18/11/2014,1,3,29,30,33,35,2,0,0,
2634,15/11/2014,4,8,9,23,25,31,4,0,1,
2633,11/11/2014,3,11,18,25,33,36,7,1,1,
2632,08/11/2014,7,16,18,21,23,36,6,0,0,
2631,04/11/2014,2,19,28,29,34,36,6,0,0,
2630,01/11/2014,1,2,5,15,27,31,4,0,0,
2629,28/10/2014,12,15,20,30,33,37,3,0,0,
2628,25/10/2014,2,5,6,10,19,29,5,2,0,
2627,21/10/2014,5,7,9,11,24,29,1,0,0,
2626,18/10/2014,9,10,11,12,21,32,5,0,0,
2625,14/10/2014,5,10,17,23,32,36,6,0,0,
2624,11/10/2014,2,6,11,16,27,34,3,0,0,
2623,07/10/2014,8,10,15,23,26,34,1,0,0,
2622,05/10/2014,1,9,10,21,26,37,3,0,0,
2621,30/09/2014,8,13,17,18,34,36,1,0,0,
2620,28/09/2014,13,17,19,26,30,36,5,0,0,
2619,23/09/2014,7,9,10,34,35,36,7,0,0,
2618,20/09/2014,7,19,20,25,31,34,3,0,0,
2617,16/09/2014,3,8,11,19,26,35,2,0,0,
2616,13/09/2014,1,4,12,18,31,37,3,1,0,
2615,09/09/2014,2,12,14,27,29,32,5,0,0,
2614,06/09/2014,3,15,24,25,26,35,2,0,0,
2613,02/09/2014,6,10,18,27,35,36,6,0,0,
2612,30/08/2014,2,9,28,31,32,35,6,0,0,
2611,26/08/2014,2,7,10,23,26,35,6,1,0,
2610,23/08/2014,5,15,20,25,27,32,4,0,0,
2609,19/08/2014,4,16,30,32,34,36,4,0,0,
2608,16/08/2014,2,5,7,16,22,37,4,0,0,
2607,12/08/2014,3,15,21,28,30,32,4,0,0,
2606,09/08/2014,4,11,13,20,32,35,2,0,0,
2605,05/08/2014,5,9,21,23,28,33,7,0,0,
2604,02/08/2014,6,13,14,21,23,26,6,0,1,
2603,29/07/2014,3,5,8,16,17,20,2,0,1,
2602,26/07/2014,2,3,28,30,33,35,5,0,0,
2601,22/07/2014,2,10,12,23,30,33,5,0,0,
2600,19/07/2014,4,11,27,32,34,37,4,0,0,
2599,15/07/2014,7,14,20,27,29,31,5,1,0,
2598,12/07/2014,4,11,12,13,20,27,2,0,1,
2597,08/07/2014,2,5,18,19,20,31,1,0,0,
2596,05/07/2014,1,10,17,21,22,31,4,0,0,
2595,01/07/2014,5,13,17,26,29,33,5,0,1,
2594,28/06/2014,1,2,6,19,29,33,7,0,0,
2593,24/06/2014,7,8,15,30,33,34,6,0,0,
2592,21/06/2014,8,11,22,33,34,35,6,0,0,
2591,17/06/2014,7,8,15,18,29,34,4,0,0,
2590,14/06/2014,13,15,24,25,30,32,5,0,0,
2589,10/06/2014,6,8,9,25,29,37,3,0,0,
2588,07/06/2014,4,9,10,14,19,35,2,0,0,
2587,04/06/2014,11,17,19,31,36,37,1,0,0,
2586,31/05/2014,5,11,12,13,15,22,7,0,0,
2585,27/05/2014,3,4,6,18,26,29,3,0,1,
2584,24/05/2014,5,10,19,25,32,35,7,0,0,
2583,20/05/2014,2,6,12,26,30,35,3,0,0,
2582,17/05/2014,1,3,11,16,20,35,2,0,0,
2581,13/05/2014,3,11,17,20,31,32,6,1,0,
2580,10/05/2014,1,2,3,4,7,25,2,0,2,
2579,07/05/2014,6,8,9,17,29,30,4,0,0,
2578,03/05/2014,20,22,28,31,35,36,3,0,1,
2577,29/04/2014,3,5,9,14,22,23,7,0,0,
2576,26/04/2014,2,4,13,16,29,34,1,0,0,
2575,22/04/2014,1,3,5,16,26,30,5,1,0,
2574,19/04/2014,2,3,20,31,35,37,7,0,0,
2573,16/04/2014,4,9,23,28,34,36,5,0,0,
2572,12/04/2014,11,16,19,24,27,35,3,0,0,
2571,08/04/2014,10,21,28,30,31,35,6,0,0,
2570,05/04/2014,2,12,18,28,33,34,1,0,0,
2569,01/04/2014,15,17,23,25,30,35,2,0,0,
2568,29/03/2014,4,13,24,25,32,34,2,0,0,
2567,25/03/2014,3,6,16,28,32,33,2,0,0,
2566,22/03/2014,3,4,23,26,31,35,3,1,0,
